username,tweet_date,text,hashtags
Simranjeet_kk,2021-05-06 09:37:41,"#Plasma Nashik Pune Thane 
Please don’t pay advance 
Verified indiacovid 
Pune-Nashik-Thane Plasma Donation Details - Updated as of 29th April Noon IST (see image)
LetsDoMore COVID19 Covid19IndiaHelp 
#PuneFightsCorona #CovidWarrior 
#PlasmaDonors
━━━━━━━━━━━━━
🦠 😷 https://t.co/sII47g4VPS","[{'text': 'Plasma', 'indices': [19, 26]}]"
AlwaysMmader,2021-05-06 08:28:29,"HOME ICU (Mumbai, Pune, Nashik, Nagpur, Baroda, Delhi, Surat  Bangalore) Register yourself. 17K per day+ GST. 10 days package. Verified by me on April 28, 2021 at 14:14. @AshwiniDodani @Shayoneespeaks @TheOneHimanshu #CovidIndia #COVIDEmergency2021 

https://t.co/VLKJ3hmOSp""",[]
biharcovidbot,2021-05-06 05:43:34,"Third Wave of COVID19 in India Bihar Patna Nashik Nagpur Delhi Available in 2-3days Verified Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur",[]
iThatMatter,2021-05-06 05:40:52,"Third Wave of COVID19 in India Bihar Patna Nashik Nagpur Delhi Available in 2-3days Verified Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur",[]
biharcovidbot,2021-05-06 05:38:33,"#covidinfoindia
Oxygen:
COVID19 Verified Bihar Patna Nashik Nagpur Delhi Available in 2-3days Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur","[{'text': 'covidinfoindia', 'indices': [15, 30]}]"
FLine_warrior,2021-05-06 05:36:25,"Third Wave of COVID19 in India Bihar Patna Nashik Nagpur Delhi Available in 2-3days Verified Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur",[]
CVDResourcesBot,2021-05-06 05:34:49,"Third Wave of COVID19 in India Bihar Patna Nashik Nagpur Delhi Available in 2-3days Verified Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur",[]
VM_Goloka,2021-05-06 05:34:43,"Third Wave of COVID19 in India Bihar Patna Nashik Nagpur Delhi Available in 2-3days Verified Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur","[{'text': 'Nagpur', 'indices': [225, 232]}]"
iThatMatter,2021-05-06 05:34:15,"#covidinfoindia
Oxygen:
COVID19 Verified Bihar Patna Nashik Nagpur Delhi Available in 2-3days Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur","[{'text': 'covidinfoindia', 'indices': [15, 30]}]"
CVDResourcesBot,2021-05-06 05:33:03,"#covidinfoindia
Oxygen:
COVID19 Verified Bihar Patna Nashik Nagpur Delhi Available in 2-3days Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur","[{'text': 'covidinfoindia', 'indices': [15, 30]}]"
VM_Goloka,2021-05-06 05:32:57,"#covidinfoindia
Oxygen:
COVID19 Verified Bihar Patna Nashik Nagpur Delhi Available in 2-3days Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur","[{'text': 'covidinfoindia', 'indices': [0, 15]}, {'text': 'Nagpur', 'indices': [226, 233]}]"
nashik_feed,2021-05-06 05:22:27,"#veryurgentneedventilatorbed
Patients name: Morade Motiram Morade
Age70
Corona status: nerlikar hs.
Ct score 16
Oxygen saturation96
moblie no.9960448762/9860769740
Requirement: immediately, vantilator bed at Nashik
#verified
06.05.2021 #sonusoodfoundation","[{'text': 'veryurgentneedventilatorbed', 'indices': [17, 45]}]"
RathiSanket,2021-05-06 05:19:47,"#veryurgentneedventilatorbed
Patients name: Morade Motiram Morade
Age70
Corona status: nerlikar hs.
Ct score 16
Oxygen saturation96
moblie no.9960448762/9860769740
Requirement: immediately, vantilator bed at Nashik
#verified
06.05.2021 #sonusoodfoundation","[{'text': 'veryurgentneedventilatorbed', 'indices': [0, 28]}, {'text': 'verified', 'indices': [215, 224]}, {'text': 'sonusoodfoundation', 'indices': [236, 255]}]"
Saurrabhinc,2021-05-06 02:22:19,"Third Wave of #COVID19 in India
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days #Verified

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [34, 42]}, {'text': 'Bihar', 'indices': [52, 58]}, {'text': 'Patna', 'indices': [59, 65]}, {'text': 'Nashik', 'indices': [66, 73]}, {'text': 'Nagpur', 'indices': [74, 81]}, {'text': 'Delhi', 'indices': [82, 88]}, {'text': 'Verified', 'indices': [111, 120]}]"
FLine_warrior,2021-05-06 02:02:15,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'Verified', 'indices': [29, 38]}, {'text': 'Bihar', 'indices': [39, 45]}, {'text': 'Patna', 'indices': [46, 52]}, {'text': 'Nashik', 'indices': [53, 60]}, {'text': 'Nagpur', 'indices': [61, 68]}, {'text': 'Delhi', 'indices': [69, 75]}]"
babun1515,2021-05-05 21:30:43,"Third Wave of #COVID19 in India
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days #Verified

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [34, 42]}, {'text': 'Bihar', 'indices': [52, 58]}, {'text': 'Patna', 'indices': [59, 65]}, {'text': 'Nashik', 'indices': [66, 73]}, {'text': 'Nagpur', 'indices': [74, 81]}, {'text': 'Delhi', 'indices': [82, 88]}, {'text': 'Verified', 'indices': [111, 120]}]"
nashik_feed,2021-05-05 21:22:29,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [17, 25]}, {'text': 'Verified', 'indices': [26, 35]}, {'text': 'Bihar', 'indices': [36, 42]}, {'text': 'Patna', 'indices': [43, 49]}, {'text': 'Nashik', 'indices': [50, 57]}, {'text': 'Nagpur', 'indices': [58, 65]}, {'text': 'Delhi', 'indices': [66, 72]}]"
nashik_feed,2021-05-05 21:22:21,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'Verified', 'indices': [23, 32]}, {'text': 'Bihar', 'indices': [33, 39]}, {'text': 'Patna', 'indices': [40, 46]}, {'text': 'Nashik', 'indices': [47, 54]}, {'text': 'Nagpur', 'indices': [55, 62]}, {'text': 'Delhi', 'indices': [63, 69]}]"
nashik_feed,2021-05-05 21:22:14,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'Verified', 'indices': [29, 38]}, {'text': 'Bihar', 'indices': [39, 45]}, {'text': 'Patna', 'indices': [46, 52]}, {'text': 'Nashik', 'indices': [53, 60]}, {'text': 'Nagpur', 'indices': [61, 68]}, {'text': 'Delhi', 'indices': [69, 75]}]"
Binoy_R,2021-05-05 20:59:51,"Third Wave of #COVID19 in India
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days #Verified

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [34, 42]}, {'text': 'Bihar', 'indices': [52, 58]}, {'text': 'Patna', 'indices': [59, 65]}, {'text': 'Nashik', 'indices': [66, 73]}, {'text': 'Nagpur', 'indices': [74, 81]}, {'text': 'Delhi', 'indices': [82, 88]}, {'text': 'Verified', 'indices': [111, 120]}]"
yohanmaduranga5,2021-05-05 20:45:45,"Third Wave of #COVID19 in India
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days #Verified

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [34, 42]}, {'text': 'Bihar', 'indices': [52, 58]}, {'text': 'Patna', 'indices': [59, 65]}, {'text': 'Nashik', 'indices': [66, 73]}, {'text': 'Nagpur', 'indices': [74, 81]}, {'text': 'Delhi', 'indices': [82, 88]}, {'text': 'Verified', 'indices': [111, 120]}]"
biharcovidbot,2021-05-05 20:39:04,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [17, 25]}, {'text': 'Verified', 'indices': [26, 35]}, {'text': 'Bihar', 'indices': [36, 42]}, {'text': 'Patna', 'indices': [43, 49]}, {'text': 'Nashik', 'indices': [50, 57]}, {'text': 'Nagpur', 'indices': [58, 65]}, {'text': 'Delhi', 'indices': [66, 72]}]"
biharcovidbot,2021-05-05 20:34:01,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'Verified', 'indices': [23, 32]}, {'text': 'Bihar', 'indices': [33, 39]}, {'text': 'Patna', 'indices': [40, 46]}, {'text': 'Nashik', 'indices': [47, 54]}, {'text': 'Nagpur', 'indices': [55, 62]}, {'text': 'Delhi', 'indices': [63, 69]}]"
CVDResourcesBot,2021-05-05 20:33:59,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [17, 25]}, {'text': 'Verified', 'indices': [26, 35]}, {'text': 'Bihar', 'indices': [36, 42]}, {'text': 'Patna', 'indices': [43, 49]}, {'text': 'Nashik', 'indices': [50, 57]}, {'text': 'Nagpur', 'indices': [58, 65]}, {'text': 'Delhi', 'indices': [66, 72]}]"
BiharKiLaat,2021-05-05 20:33:54,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'Verified', 'indices': [9, 18]}, {'text': 'Bihar', 'indices': [19, 25]}, {'text': 'Patna', 'indices': [26, 32]}, {'text': 'Nashik', 'indices': [33, 40]}, {'text': 'Nagpur', 'indices': [41, 48]}, {'text': 'Delhi', 'indices': [49, 55]}]"
biharcovidbot,2021-05-05 20:29:00,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'Verified', 'indices': [29, 38]}, {'text': 'Bihar', 'indices': [39, 45]}, {'text': 'Patna', 'indices': [46, 52]}, {'text': 'Nashik', 'indices': [53, 60]}, {'text': 'Nagpur', 'indices': [61, 68]}, {'text': 'Delhi', 'indices': [69, 75]}]"
caakhilkumar14,2021-05-05 20:28:17,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'Verified', 'indices': [23, 32]}, {'text': 'Bihar', 'indices': [33, 39]}, {'text': 'Patna', 'indices': [40, 46]}, {'text': 'Nashik', 'indices': [47, 54]}, {'text': 'Nagpur', 'indices': [55, 62]}, {'text': 'Delhi', 'indices': [63, 69]}]"
ZenDesign10,2021-05-05 20:27:17,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'Verified', 'indices': [29, 38]}, {'text': 'Bihar', 'indices': [39, 45]}, {'text': 'Patna', 'indices': [46, 52]}, {'text': 'Nashik', 'indices': [53, 60]}, {'text': 'Nagpur', 'indices': [61, 68]}, {'text': 'Delhi', 'indices': [69, 75]}]"
RSSGobar,2021-05-05 20:26:39,"Third Wave of #COVID19 in India
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days #Verified

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [34, 42]}, {'text': 'Bihar', 'indices': [52, 58]}, {'text': 'Patna', 'indices': [59, 65]}, {'text': 'Nashik', 'indices': [66, 73]}, {'text': 'Nagpur', 'indices': [74, 81]}, {'text': 'Delhi', 'indices': [82, 88]}, {'text': 'Verified', 'indices': [111, 120]}]"
ZenDesign10,2021-05-05 20:26:38,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'Verified', 'indices': [23, 32]}, {'text': 'Bihar', 'indices': [33, 39]}, {'text': 'Patna', 'indices': [40, 46]}, {'text': 'Nashik', 'indices': [47, 54]}, {'text': 'Nagpur', 'indices': [55, 62]}, {'text': 'Delhi', 'indices': [63, 69]}]"
RSSGobar,2021-05-05 20:26:08,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'Verified', 'indices': [29, 38]}, {'text': 'Bihar', 'indices': [39, 45]}, {'text': 'Patna', 'indices': [46, 52]}, {'text': 'Nashik', 'indices': [53, 60]}, {'text': 'Nagpur', 'indices': [61, 68]}, {'text': 'Delhi', 'indices': [69, 75]}]"
Gauravyadav3275,2021-05-05 20:26:04,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'Verified', 'indices': [23, 32]}, {'text': 'Bihar', 'indices': [33, 39]}, {'text': 'Patna', 'indices': [40, 46]}, {'text': 'Nashik', 'indices': [47, 54]}, {'text': 'Nagpur', 'indices': [55, 62]}, {'text': 'Delhi', 'indices': [63, 69]}]"
CVDResourcesBot,2021-05-05 20:25:32,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'Verified', 'indices': [23, 32]}, {'text': 'Bihar', 'indices': [33, 39]}, {'text': 'Patna', 'indices': [40, 46]}, {'text': 'Nashik', 'indices': [47, 54]}, {'text': 'Nagpur', 'indices': [55, 62]}, {'text': 'Delhi', 'indices': [63, 69]}]"
RSSGobar,2021-05-05 20:25:26,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'Verified', 'indices': [9, 18]}, {'text': 'Bihar', 'indices': [19, 25]}, {'text': 'Patna', 'indices': [26, 32]}, {'text': 'Nashik', 'indices': [33, 40]}, {'text': 'Nagpur', 'indices': [41, 48]}, {'text': 'Delhi', 'indices': [49, 55]}]"
ZenDesign10,2021-05-05 20:24:43,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [16, 24]}, {'text': 'Verified', 'indices': [25, 34]}, {'text': 'Bihar', 'indices': [35, 41]}, {'text': 'Patna', 'indices': [42, 48]}, {'text': 'Nashik', 'indices': [49, 56]}, {'text': 'Nagpur', 'indices': [57, 64]}, {'text': 'Delhi', 'indices': [65, 71]}]"
CVDResourcesBot,2021-05-05 20:24:11,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'Verified', 'indices': [29, 38]}, {'text': 'Bihar', 'indices': [39, 45]}, {'text': 'Patna', 'indices': [46, 52]}, {'text': 'Nashik', 'indices': [53, 60]}, {'text': 'Nagpur', 'indices': [61, 68]}, {'text': 'Delhi', 'indices': [69, 75]}]"
viralvideovlogs,2021-05-05 20:24:06,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'Verified', 'indices': [29, 38]}, {'text': 'Bihar', 'indices': [39, 45]}, {'text': 'Patna', 'indices': [46, 52]}, {'text': 'Nashik', 'indices': [53, 60]}, {'text': 'Nagpur', 'indices': [61, 68]}, {'text': 'Delhi', 'indices': [69, 75]}]"
mihirpantawane,2021-05-05 20:24:05,"#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup","[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'Verified', 'indices': [9, 18]}, {'text': 'Bihar', 'indices': [19, 25]}, {'text': 'Patna', 'indices': [26, 32]}, {'text': 'Nashik', 'indices': [33, 40]}, {'text': 'Nagpur', 'indices': [41, 48]}, {'text': 'Delhi', 'indices': [49, 55]}]"
